as_code;as_cx_wgs;as_cy_wgs;as_blx_wgs;as_bly_wgs;as_tlx_wgs;as_tly_wgs;as_trx_wgs;as_try_wgs;as_brx_wgs;as_bry_wgs;as_parent_oas
TGB101_50mX4191250000Y2984450000Z0;8.1921862886;49.9583418034;8.191846496;49.9581115559;8.1918295495;49.9585609789;8.1925260845;49.9585720499;8.1925430245;49.9581226267;TGB101_100mX4191200000Y2984400000Z0
TGB101_50mX4199650000Y2983650000Z0;8.3094612109;49.9529504407;8.3091208957;49.9527205421;8.3091050508;49.9531699856;8.3098015294;49.9531803383;8.3098173678;49.9527308947;TGB101_100mX4199600000Y2983600000Z0
TGB101_50mX4191100000Y2983850000Z0;8.1903002203;49.9529154944;8.1899604746;49.952685241;8.1899435133;49.9531346644;8.1906399692;49.9531457468;8.190656924;49.9526963232;TGB101_100mX4191100000Y2983800000Z0
TGB101_50mX4196750000Y2987100000Z0;8.2679460351;49.9833538106;8.2676057051;49.9831237899;8.2675894557;49.9835732223;8.2682863684;49.9835838302;8.2683026112;49.9831343977;TGB101_100mX4196700000Y2987100000Z0
TGB101_50mX4189950000Y2987800000Z0;8.1729291003;49.9881635066;8.1725891911;49.9879332034;8.1725720481;49.9883826188;8.1732690127;49.9883938087;8.1732861492;49.9879443932;TGB101_100mX4189900000Y2987800000Z0
TGB101_50mX4195500000Y2979850000Z0;8.2528986996;49.9179193033;8.2525588995;49.9176892343;8.2525425427;49.9181386734;8.2532385029;49.9181493712;8.2532548533;49.917699932;TGB101_100mX4195500000Y2979800000Z0
TGB101_50mX4198650000Y2986900000Z0;8.2944927852;49.9819560796;8.294152338;49.981726138;8.2941363383;49.9821755749;8.2948332356;49.9821860202;8.2948492287;49.9817365831;TGB101_100mX4198600000Y2986900000Z0
TGB101_50mX4198250000Y2986900000Z0;8.2889176423;49.9818723813;8.2885772224;49.981642423;8.2885611705;49.9820918591;8.2892580655;49.9821023385;8.2892741109;49.9816529023;TGB101_100mX4198200000Y2986900000Z0
TGB101_50mX4200850000Y2988750000Z0;8.3245749001;49.9990408452;8.3242341892;49.9988109941;8.3242184632;49.9992604336;8.3249156143;49.9992706952;8.3249313337;49.9988212556;TGB101_100mX4200800000Y2988700000Z0
TGB101_50mX4191100000Y2984550000Z0;8.1900627681;49.9592074168;8.1897229796;49.9589771631;8.1897060127;49.9594265856;8.1904025599;49.9594376696;8.1904195203;49.9589882469;TGB101_100mX4191100000Y2984500000Z0
TGB101_50mX4195950000Y2985200000Z0;8.2574165652;49.9661051291;8.2570764064;49.9658750762;8.2570600671;49.9663245092;8.2577567272;49.966335181;8.25777306;49.9658857479;TGB101_100mX4195900000Y2985200000Z0
TGB101_50mX4196850000Y2984050000Z0;8.2703293602;49.9559595034;8.2699892107;49.9557294884;8.2699729977;49.956178925;8.2706695128;49.9561895174;8.2706857194;49.9557400806;TGB101_100mX4196800000Y2984000000Z0
TGB101_50mX4197300000Y2989000000Z0;8.2749971604;50.0005486714;8.274656676;50.0003186727;8.274640484;50.0007681039;8.2753376481;50.0007786691;8.2753538335;50.0003292379;TGB101_100mX4197300000Y2989000000Z0
TGB101_50mX4196350000Y2989100000Z0;8.2617185296;50.0012460196;8.2613781038;50.0010159813;8.2613617869;50.0014654102;8.2620589587;50.0014760568;8.262075269;50.0010266278;TGB101_100mX4196300000Y2989100000Z0
TGB101_50mX4196600000Y2989300000Z0;8.2651392488;50.0030969164;8.2647987936;50.0028668884;8.2647825078;50.0033163176;8.2654797072;50.0033269433;8.2654959864;50.0028775141;TGB101_100mX4196600000Y2989300000Z0
TGB101_50mX4179000000Y2986100000Z0;8.0209330536;49.9703313685;8.0205939971;49.9701006129;8.0205754388;49.9705500031;8.0212721134;49.9705621231;8.0212906651;49.9701127328;TGB101_100mX4179000000Y2986100000Z0
